Volcano Number,Volcano Name,Eruption Number,Eruption Category,Area of Activity,VEI,VEI Modifier,Start Year Modifier,Start Year,Start Year Uncertainty,Start Month,Start Day Modifier,Start Day,Start Day Uncertainty,Evidence Method (dating),End Year Modifier,End Year,End Year Uncertainty,End Month,End Day Modifier,End Day,End Day Uncertainty,Latitude,Longitude
282090,Kirishimayama,17150,Confirmed Eruption,Ohachi,2,,,1898,,2,,8,,Observations: Reported,,1898,,3,,11,,31.934,130.862
283120,Kusatsu-Shiranesan,17825,Confirmed Eruption,NE part of Yu-gama,2,,,1897,,7,,8,,Observations: Reported,,1897,,8,,16,,36.618,138.528
282090,Kirishimayama,17149,Confirmed Eruption,Ohachi,2,,,1897,,5,,3,,Observations: Reported,,1897,,9,,4,,31.934,130.862
282110,Asosan,17290,Confirmed Eruption,Naka-dake,2,,,1897,,2,,24,4,Observations: Reported,,,,,,,,32.884,131.104
282090,Kirishimayama,17148,Confirmed Eruption,Ohachi,2,,,1896,,12,,21,,Observations: Reported,,,,,,,,31.934,130.862
283190,Zaozan [Zaosan],17982,Confirmed Eruption,Okama,1,,,1896,,3,,8,,Observations: Reported,,1896,,3,,8,,38.144,140.44
284070,Myojinsho,18311,Confirmed Eruption,14 km north of Bayonnaise Rocks,2,,,1896,,0,,0,,Observations: Reported,,,,,,,,31.888,139.918
283190,Zaozan [Zaosan],17981,Confirmed Eruption,Okama,2,,,1895,,8,,22,,Observations: Reported,,1895,,9,,28,,38.144,140.44
282090,Kirishimayama,17147,Confirmed Eruption,Ohachi,2,,,1895,,7,,16,,Observations: Reported,,1896,,6,,26,,31.934,130.862
283180,Azumayama,17931,Confirmed Eruption,Issaikyo (near Oana),1,,,1895,,3,,8,,Observations: Reported,,1895,,9,,13,,37.735,140.244
283190,Zaozan [Zaosan],17980,Confirmed Eruption,Okama,1,,,1895,,2,,15,,Observations: Reported,,1895,,3,,22,,38.144,140.44
285040,Shikotsu,18622,Confirmed Eruption,Tarumai,2,,,1894,,8,,17,,Observations: Reported,,1894,,8,,17,,42.688,141.38
283190,Zaozan [Zaosan],17979,Confirmed Eruption,Okama,2,?,,1894,,7,,3,,Observations: Reported,,1894,,7,,3,,38.144,140.44
283110,Asamayama,17759,Confirmed Eruption,,2,,,1894,,4,,6,,Observations: Reported,,1894,,6,,14,,36.406,138.523
283180,Azumayama,17930,Confirmed Eruption,Issaikyo (near Oana),1,,,1894,,3,,16,,Observations: Reported,,1894,,4,,12,,37.735,140.244
282110,Asosan,17289,Confirmed Eruption,Naka-dake,2,,,1894,,3,,6,,Observations: Reported,,1894,,8,,30,,32.884,131.104
282090,Kirishimayama,17146,Confirmed Eruption,Ohachi,2,,,1894,,2,,25,,Observations: Reported,,1894,,2,?,28,,31.934,130.862
285040,Shikotsu,18621,Confirmed Eruption,Tarumai,2,,,1894,,2,,8,,Observations: Reported,,1894,,2,,8,,42.688,141.38
283180,Azumayama,17929,Confirmed Eruption,Issaikyo,1,,,1893,,11,,9,,Observations: Reported,,1893,,11,,10,,37.735,140.244
283180,Azumayama,17928,Confirmed Eruption,Issaikyo (west of Oana),1,,,1893,,5,,19,,Observations: Reported,,1893,,7,,13,,37.735,140.244
282090,Kirishimayama,17145,Confirmed Eruption,Ohachi,2,,,1891,,11,,10,,Observations: Reported,,1891,,11,?,20,,31.934,130.862
283110,Asamayama,17757,Confirmed Eruption,,,,,1891,,10,?,0,,Observations: Reported,,1891,,11,?,0,,36.406,138.523
282090,Kirishimayama,17144,Confirmed Eruption,Ohachi,2,?,,1891,,6,?,19,,Observations: Reported,,,,,,,,31.934,130.862
283230,Akita-Komagatake,18050,Confirmed Eruption,,2,,,1890,,12,,0,,Observations: Reported,,1891,,1,,0,,39.761,140.799
283260,Akita-Yakeyama,18082,Confirmed Eruption,,2,,,1890,,9,,23,,Observations: Reported,,,,,,,,39.964,140.757
283140,Nikko-Shiranesan,17863,Confirmed Eruption,Shirane-san,1,,,1890,,8,,22,,Observations: Reported,,,,,,,,36.799,139.376
285090,Shiretoko-Iozan,18731,Confirmed Eruption,NW flank,1,,,1890,,6,,15,,Observations: Reported,,,,,,,,44.133,145.161
284120,Ioto,18403,Confirmed Eruption,Chidoriga-ana,1,,,1889,,12,,31,365,Observations: Reported,,,,,,,,24.751,141.289
283110,Asamayama,17756,Confirmed Eruption,,2,,,1889,,12,,24,,Observations: Reported,,,,,,,,36.406,138.523
282090,Kirishimayama,13802,Confirmed Eruption,Ohachi,2,,,1889,,12,,10,,Observations: Reported,,1889,,12,,18,,31.934,130.862
283140,Nikko-Shiranesan,17862,Confirmed Eruption,Shirane-san (west flank),1,,,1889,,12,,4,,Observations: Reported,,,,,,,,36.799,139.376
282030,Suwanosejima,16926,Confirmed Eruption,O-take,4,,,1889,,10,,2,,Observations: Reported,,1889,,10,,13,,29.638,129.714
285090,Shiretoko-Iozan,18730,Confirmed Eruption,NW flank,2,?,,1889,,8,,9,,Observations: Reported,,1889,,10,,7,7,44.133,145.161
285050,Tokachidake,18646,Confirmed Eruption,Maru-yama (Yunuma),2,,,1889,,0,,0,,Observations: Reported,,,,,,,,43.418,142.686
283160,Bandaisan,17900,Confirmed Eruption,Kobandai,4,,,1888,,7,,15,,Observations: Reported,,1888,,7,,15,,37.601,140.072
285020,Hokkaido-Komagatake,18568,Confirmed Eruption,NW side of 1856 (Ansei) crater,2,,,1888,,4,,14,,Observations: Reported,,,,,,,,42.063,140.677
282090,Kirishimayama,17076,Confirmed Eruption,Ohachi,2,,,1888,,2,,21,,Observations: Reported,,1888,,5,,9,,31.934,130.862
285040,Shikotsu,18620,Confirmed Eruption,Tarumai,2,,,1887,,9,,3,,Observations: Reported,,1887,,10,,8,,42.688,141.38
285050,Tokachidake,18645,Confirmed Eruption,Lower part of Maru-yama?,2,,,1887,,6,,0,,Observations: Reported,,,,,,,,43.418,142.686
282090,Kirishimayama,17143,Confirmed Eruption,Ohachi,2,?,,1887,,5,,0,,Observations: Reported,,,,,,,,31.934,130.862
283260,Akita-Yakeyama,18081,Confirmed Eruption,Karenuma,2,,,1887,,0,,0,,Observations: Reported,,,,,,,,39.964,140.757
285040,Shikotsu,18619,Confirmed Eruption,Tarumai,2,,,1886,,4,,13,,Observations: Reported,,1886,,4,,28,,42.688,141.38
285040,Shikotsu,18618,Confirmed Eruption,Tarumai,2,,,1885,,1,,4,,Observations: Reported,,1885,,3,,26,,42.688,141.38
282030,Suwanosejima,16925,Confirmed Eruption,O-take,2,?,,1885,,1,,0,,Observations: Reported,,1885,,5,,0,,29.638,129.714
282110,Asosan,17288,Confirmed Eruption,Naka-dake,2,,,1884,,3,,21,,Observations: Reported,,1884,,6,,0,,32.884,131.104
282030,Suwanosejima,16924,Confirmed Eruption,Northeastern summit crater (O-take),1,,,1884,,0,,0,,Observations: Reported,,,,,,,,29.638,129.714
285040,Shikotsu,18617,Confirmed Eruption,Tarumai,2,,,1883,,10,,7,,Observations: Reported,,1883,,11,,5,,42.688,141.38
283120,Kusatsu-Shiranesan,17824,Confirmed Eruption,"Yu-gama, NE end of Kara-gama",2,,,1882,,8,,6,,Observations: Reported,,1882,,8,>,16,,36.618,138.528
283150,Nasudake,17882,Confirmed Eruption,Chausu-dake (west and NW side of summit),1,?,,1881,,7,,1,,Observations: Reported,,,,,,,,37.125,139.963
282090,Kirishimayama,17142,Confirmed Eruption,Ohachi,2,,,1880,,9,,0,,Observations: Reported,,,,,,,,31.934,130.862
284110,Kita-Ioto,18378,Confirmed Eruption,Funka-Asane,0,,,1880,,0,,0,,Observations: Reported,,1889,,0,,0,,25.424,141.284
283110,Asamayama,17755,Confirmed Eruption,,2,,,1879,,9,,27,,Observations: Reported,,1879,,9,,28,,36.406,138.523
282030,Suwanosejima,16923,Confirmed Eruption,,4,?,,1877,,0,,0,,Observations: Reported,,,,,,,,29.638,129.714
284010,Izu-Oshima,18206,Confirmed Eruption,Mihara-yama,2,,,1876,,12,,27,,Observations: Reported,,1877,,2,,5,,34.724,139.394
285090,Shiretoko-Iozan,18728,Confirmed Eruption,NW flank,2,,,1876,,9,,23,,Observations: Reported,,1876,,9,,26,,44.133,145.161
283110,Asamayama,17753,Confirmed Eruption,,2,,,1875,,6,,14,,Observations: Reported,,,,,,,,36.406,138.523
284040,Miyakejima,18269,Confirmed Eruption,NNE flank (560 m),3,,,1874,,7,,3,,Observations: Reported,,1874,,7,?,17,,34.094,139.526
285011,Esan,18552,Confirmed Eruption,,1,,,1874,,6,,8,,Observations: Reported,,,,,,,,41.805,141.166
285040,Shikotsu,18616,Confirmed Eruption,Tarumai,3,,,1874,,2,,8,,Observations: Reported,,1874,,2,,16,,42.688,141.38
282110,Asosan,17287,Confirmed Eruption,Naka-dake,2,,,1874,,2,,7,,Observations: Reported,,,,,,,,32.884,131.104
283190,Zaozan [Zaosan],17977,Confirmed Eruption,Okama,1,?,,1873,,8,,0,,Observations: Reported,,1873,,9,,0,,38.144,140.44
283140,Nikko-Shiranesan,17861,Confirmed Eruption,Shirane-san,1,,,1873,,3,,12,,Observations: Reported,,,,,,,,36.799,139.376
282110,Asosan,17286,Confirmed Eruption,Naka-dake,3,,,1872,,12,,1,,Observations: Reported,,1873,,6,,8,,32.884,131.104
283140,Nikko-Shiranesan,17860,Confirmed Eruption,Shirane-san (SW flank),2,,,1872,,5,,14,,Observations: Reported,,,,,,,,36.799,139.376
284090,Izu-Torishima,18367,Confirmed Eruption,,0,,,1871,,4,,0,,Observations: Reported,,,,,,,,30.484,140.303
284070,Myojinsho,18310,Confirmed Eruption,Volcano Uncertain,0,,,1871,,0,,0,,,,,,,,,,31.888,139.918
284080,Sumisujima,18333,Confirmed Eruption,18 km SW of Smith Rock,2,,,1870,,5,,0,,Observations: Reported,,,,,,,,31.44,140.051
284010,Izu-Oshima,18205,Confirmed Eruption,Mihara-yama,2,,,1870,,0,,0,,Observations: Reported,,,,,,,,34.724,139.394
284070,Myojinsho,18309,Confirmed Eruption,Volcano Uncertain,0,,,1869,,5,,6,,,,,,,,,,31.888,139.918
283110,Asamayama,17752,Confirmed Eruption,,2,,,1869,,5,,0,,Observations: Reported,,1869,,10,,23,,36.406,138.523
282020,Io-Torishima,16916,Confirmed Eruption,,1,,,1868,,2,,0,,Observations: Reported,,1868,,4,,0,,27.881,128.223
283190,Zaozan [Zaosan],17976,Confirmed Eruption,Okama,2,,,1867,,10,,21,,Observations: Reported,,,,,,,,38.144,140.44
285040,Shikotsu,18614,Confirmed Eruption,Tarumai,2,,,1867,,9,,8,,Observations: Reported,,,,,,,,42.688,141.38
283260,Akita-Yakeyama,18080,Confirmed Eruption,,,,,1867,,0,,0,,Observations: Reported,,,,,,,,39.964,140.757
283270,Iwakisan,18128,Confirmed Eruption,,1,,,1863,,3,,23,,Observations: Reported,,,,,,,,40.656,140.303
282080,Aira,17071,Confirmed Eruption,Minami-dake,1,,,1860,,0,,0,,Observations: Reported,,,,,,,,31.593,130.657
285090,Shiretoko-Iozan,18727,Confirmed Eruption,,,,,1857,,0,,0,,Observations: Reported,,1858,,0,,0,,44.133,145.161
285050,Tokachidake,18644,Confirmed Eruption,,2,,,1857,,0,,0,,Observations: Reported,,,,,,,,43.418,142.686
285020,Hokkaido-Komagatake,18567,Confirmed Eruption,Ansei Crater,4,,,1856,,9,,25,,Observations: Reported,,,,,,,,42.063,140.677
282110,Asosan,17285,Confirmed Eruption,Naka-dake,2,,,1856,,3,,18,,Observations: Reported,,1856,,6,,13,,32.884,131.104
282020,Io-Torishima,16915,Confirmed Eruption,,2,,,1855,,3,,0,,Observations: Reported,,1855,,5,,0,,27.881,128.223
282110,Asosan,17284,Confirmed Eruption,Naka-dake,2,,,1854,,2,,26,,Observations: Reported,,,,,,,,32.884,131.104
